simulation_1_yearsatAB 
 Date_from_1Jan     Obs.    1-year_sim.(without init)      Mean_yearly_Obs   Sim. With initial.
   148.000000         67.800003       91.025246           67.199997         91.025246
   149.000000         72.269997       89.650902           70.300003         89.650902
   150.000000         80.949997       90.879852           78.500000         90.879852
   151.000000         88.650002       99.478378           84.699997         99.478378
   152.000000         94.610001       115.133636           87.900002         115.133636
   153.000000         92.040001       123.931526           92.199997         123.931526
   154.000000         90.790001       119.387878           97.800003         119.387878
   155.000000         93.360001       105.878471           104.400002         105.878471
   156.000000         102.089996       91.572708           110.900002         91.572708
   157.000000         117.510002       81.604424           122.900002         81.604424
   158.000000         132.800003       73.054100           137.699997         73.054100
   159.000000         145.979996       63.513187           141.000000         63.513187
   160.000000         142.039993       56.009502           129.500000         56.009502
   161.000000         132.830002       53.803879           119.300003         53.803879
   162.000000         124.989998       53.062431           115.699997         53.062431
   163.000000         132.649994       55.260563           115.199997         55.260563
   164.000000         139.110001       60.792030           119.099998         60.792030
   165.000000         133.190002       63.089420           125.699997         63.313999
   166.000000         123.830002       57.769070           129.600006         59.076248
   167.000000         125.510002       45.131409           128.399994         49.721157
   168.000000         134.389999       32.026897           126.800003         43.154507
   169.000000         144.190002       22.952839           130.699997         43.035828
   170.000000         152.520004       18.055620           132.000000         46.012157
   171.000000         261.829987       18.647980           138.800003         47.546726
   172.000000         421.630005       27.613260           155.199997         49.723160
   173.000000         376.760010       44.132069           154.699997         57.841175
   174.000000         286.350006       64.249214           152.300003         71.301025
   175.000000         239.229996       80.203094           148.500000         81.198051
   176.000000         211.250000       84.422203           144.000000         78.730240
   177.000000         200.389999       78.389885           140.300003         66.841339
   178.000000         180.559998       69.397652           134.399994         54.660248
   179.000000         166.360001       62.452377           132.600006         46.048569
   180.000000         168.460007       58.315578           134.699997         40.999870
   181.000000         182.720001       55.567287           139.100006         38.246040
   182.000000         179.779999       53.126312           134.000000         36.268703
   183.000000         184.089996       50.839214           128.000000         34.597321
   184.000000         198.690002       48.645126           123.199997         33.126579
   185.000000         202.070007       46.484135           118.900002         31.720257
   186.000000         177.570007       44.390388           115.800003         30.336168
   187.000000         155.000000       42.312122           114.000000         28.985126
   188.000000         135.059998       40.339695           113.000000         27.680706
   189.000000         123.470001       38.669147           110.199997         26.420828
   190.000000         116.370003       37.007694           107.000000         25.211832
   191.000000         106.720001       35.172409           103.300003         24.066708
   192.000000         112.440002       33.494301           102.599998         22.977522
   193.000000         108.580002       32.059753           104.099998         21.925869
   194.000000         95.400002       30.698915           103.900002         20.912481
   195.000000         84.379997       29.351276           102.800003         19.951178
   196.000000         80.199997       28.042648           99.800003         19.045422
   197.000000         76.529999       26.792896           97.400002         18.186920
   198.000000         72.360001       25.600008           94.699997         17.367767
   199.000000         72.500000       24.459370           92.000000         16.584351
   200.000000         74.680000       23.367340           94.900002         15.834555
   201.000000         76.050003       22.319979           95.400002         15.117165
   202.000000         79.989998       21.313929           90.000000         14.432150
   203.000000         84.360001       20.351231           87.099998         13.778998
   204.000000         84.309998       19.438560           85.599998         13.156051
   205.000000         81.480003       18.572603           84.099998         12.561717
   206.000000         78.589996       17.742245           82.300003         11.994928
   207.000000         77.510002       16.947422           80.000000         11.454544
   208.000000         74.360001       16.190815           79.400002         10.939221
   209.000000         68.959999       15.465001           76.599998         10.437921
   210.000000         63.599998       14.772833           74.000000         9.982570
   211.000000         58.619999       14.145139           71.000000         9.571370
   212.000000         53.779999       13.606887           68.000000         9.226775
   213.000000         51.980000       13.123545           65.699997         8.928308
   214.000000         51.880001       12.628728           64.500000         8.610077
   215.000000         51.490002       12.112243           62.400002         8.266712
   216.000000         52.259998       11.634492           59.700001         7.950069
   217.000000         55.459999       11.257774           57.000000         7.608519
   218.000000         56.480000       10.809998           55.799999         7.702441
   219.000000         59.540001       11.413321           55.700001         8.069328
   220.000000         58.919998       10.552015           55.700001         7.849007
   221.000000         56.889999       13.221296           55.299999         7.204961
   222.000000         55.980000       9.167395           55.700001         8.472795
